kaggle_id,league,home_team,away_team
dCkdKvQI/,Italy Serie A,Atalanta,Genoa
Me6Yomdf/,Germany Bundesliga I,TSG Hoffenheim,Hertha Berlin
S4Zl5fg1/,France Ligue 1,Caen,Evian Thonon Gaillard
xWIbYR5b/,Italy Serie A,Udinese,Sassuolo
MyGpPNSp/,Italy Serie A,Hellas Verona,Juventus
v1rw4ZFe/,England Premier League,Norwich City,Crystal Palace
zitR8oGI/,France Ligue 1,Marseille,Caen
zitR8oGI/,France Ligue 1,Marseille,Caen
rcFvS8Gt/,France Ligue 1,Nice,Monaco
hSjM9R0C/,France Ligue 1,Lyon,Lorient
t6pbgw3T/,England Premier League,Swansea,Newcastle
Eu6KSu7i/,France Ligue 1,Stade de Reims,Marseille
Eu6KSu7i/,France Ligue 1,Stade de Reims,Marseille
vuZ5S9bD/,England Premier League,West Ham,Bournemouth
hAJvMsKO/,Italy Serie A,Lazio,Bologna
rLcyPc6G/,France Ligue 1,GFC Ajaccio,Angers
rLcyPc6G/,France Ligue 1,GFC Ajaccio,Angers
nTb6xHzG/,France Ligue 1,Angers,Nice
nTb6xHzG/,France Ligue 1,Angers,Nice
t8eyrkb0/,England Premier League,Southampton,Norwich City
KOHLWXXq/,Italy Serie A,Udinese,Palermo
fVJ4q2Z4/,England Premier League,Norwich City,Bournemouth
jqWGlro8/,France Ligue 1,Nice,Guingamp
hje2qBHk/,Italy Serie A,Hellas Verona,Torino
xtrZPb87/,France Ligue 1,Nantes,Rennes
hje2qBHk/,Italy Serie A,Hellas Verona,Torino
tSTbtKhl/,France Ligue 1,Caen,Montpellier
OjJ3uv8f/,France Ligue 1,Guingamp,GFC Ajaccio
va3k5hv9/,Italy Serie A,Roma,Sassuolo
Q9fZbsZi/,England Premier League,Liverpool,Norwich City
ppYixTcU/,France Ligue 1,PSG,Guingamp
xEsXtiqa/,France Ligue 1,GFC Ajaccio,Rennes
z93S65FD/,Italy Serie A,Sampdoria,Roma
hAcVknST/,France Ligue 1,Stade de Reims,Lille
zTV6MyXF/,England Premier League,West Ham,Norwich City
z9D1dWrn/,France Ligue 1,Bastia,Toulouse
tAWlO6pl/,Italy Serie A,Bologna,Udinese
r9Nxze1F/,England Premier League,Sunderland,West Ham
vLfVK6R3/,France Ligue 1,Troyes,Guingamp
pM1MMSdi/,France Ligue 1,Angers,Bastia
pM1MMSdi/,France Ligue 1,Angers,Bastia
MmE7arPp/,Italy Serie A,Chievo,Hellas Verona
jut5XqB9/,France Ligue 1,Guingamp,Lille
h61oDFPf/,France Ligue 1,Stade de Reims,Caen
lf6gNoHi/,Italy Serie A,Sassuolo,Lazio
McsNEpV6/,England Premier League,Newcastle,Norwich City
j1m2BWuC/,England Premier League,Norwich City,West Brom
hQTWOCO6/,France Ligue 1,Montpellier,Bastia
v3NmXMpG/,Italy Serie A,Fiorentina,Roma
vsSvNjgJ/,France Ligue 1,Stade de Reims,Monaco
hUV9xIMe/,Italy Serie A,Hellas Verona,Fiorentina
COTWQBua/,England Premier League,Man City,Norwich City
z9sJzANI/,France Ligue 1,St Etienne,Stade de Reims
z9sJzANI/,France Ligue 1,St Etienne,Stade de Reims
tQdOZ6OT/,England Premier League,West Ham,Everton
tQdOZ6OT/,England Premier League,West Ham,Everton
buW3fjrs/,Italy Serie A,Hellas Verona,Bologna
vHrllTiI/,France Ligue 1,Montpellier,Nantes
tdZiTb2j/,England Premier League,Swansea,Bournemouth
lAfPoemH/,France Ligue 1,Montpellier,Stade de Reims
lAfPoemH/,France Ligue 1,Montpellier,Stade de Reims
z5kA1PeO/,Italy Serie A,Hellas Verona,Napoli
rBCcTnXk/,France Ligue 1,Rennes,Bordeaux
dvj4nSwS/,France Ligue 1,Nantes,Bastia
WWhhkUg9/,France Ligue 1,GFC Ajaccio,Lorient
nqJSJ6Bh/,Italy Serie A,Frosinone,Hellas Verona
htvTjaaL/,England Premier League,Norwich City,Arsenal
vHKs0o8R/,France Ligue 1,Lille,St Etienne
vHKs0o8R/,France Ligue 1,Lille,St Etienne
bsqsbG6l/,England Premier League,West Brom,Tottenham
dE6DD4xR/,France Ligue 1,GFC Ajaccio,Nantes
dE6DD4xR/,France Ligue 1,GFC Ajaccio,Nantes
xhOnBZOk/,Italy Serie A,Sampdoria,Sassuolo
zupsHeDQ/,England Premier League,Sunderland,Watford
h44vIJTC/,France Ligue 1,Stade de Reims,Nice
