id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_corners_70_75,away_corners_70_75,home_shots_70_75,away_shots_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_75_80,away_corners_75_80,home_shots_75_80,away_shots_75_80,home_fouls_75_80,away_fouls_75_80,odd_h,odd_d,odd_a,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,odds_ratio,shot_to_corner_ratio_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,home_corner_diff,away_corner_diff,corner_diff,target
0vWe9vtS/,2011-08-20,2012,D1,germany,FC Cologne,Kaiserslautern,3.0,3.65,2.54,1-1,1-1,d,0,9,7,13,15,5,5,2,3,0,0,0,0,1,0,0,1,0,0,1,1,1,1,3.0,3.65,2.54,16,28,5,0,10,0,1,1,0,2,2,1.181,1.6,0.458,0.542,0.0,0.542,0,1,2,0,2,1
8G9ykJld/,2011-08-20,2012,D1,germany,Borussia Dortmund,Nurnberg,1.36,5.6,10.9,2-0,2-0,h,2,11,9,8,11,4,4,0,2,0,0,0,0,0,1,0,0,2,0,1,1,0,1,1.36,5.6,10.9,20,19,2,0,8,0,1,0,2,2,1,0.125,2.5,0.0,0.046,0.0,0.0,0,1,1,1,2,1
ADHR3I3k/,2011-08-20,2012,D1,germany,FC Augsburg,TSG Hoffenheim,3.11,3.6,2.44,0-2,0-2,a,-2,11,14,14,15,4,2,1,1,0,0,0,1,3,0,0,2,1,0,0,1,0,1,3.11,3.6,2.44,25,29,2,0,6,1,3,2,1,1,1,1.275,4.167,0.161,0.0,-0.322,0.0,0,-1,0,0,0,0
IV8qAKQL/,2011-08-20,2012,D1,germany,VfB Stuttgart,Bayer Leverkusen,2.31,3.7,3.3,0-1,0-1,a,-1,10,11,10,11,4,3,2,0,0,0,1,0,2,0,1,0,0,0,0,1,0,1,2.31,3.7,3.3,21,21,2,0,7,1,2,1,0,1,1,0.7,3.0,0.433,0.0,-1.299,0.0,1,0,1,1,2,1
StGWCMt3/,2011-08-20,2012,D1,germany,Werder Bremen,SC Freiburg,1.63,4.3,6.2,3-2,5-3,h,1,22,8,14,22,10,1,1,3,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1.63,4.3,6.2,30,36,4,0,11,1,2,1,1,0,1,0.263,2.727,0.0,0.161,-0.0,0.0,1,0,2,0,2,1
WEEwFIGH/,2011-08-20,2012,F1,france,Bordeaux,AJ Auxerre,1.89,3.45,5.4,1-1,1-1,d,0,15,7,8,15,10,1,1,2,0,0,0,0,0,1,0,2,0,0,2,1,0,0,1.89,3.45,5.4,22,23,3,0,11,0,1,2,0,3,0,0.35,2.0,0.741,0.259,1.482,0.0,0,-2,0,0,0,0
ljHSD2Rd/,2011-08-20,2012,D1,germany,Bayern Munich,Hamburg SV,1.26,6.6,16.5,5-0,5-0,h,5,24,3,9,15,5,3,2,4,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1.26,6.6,16.5,27,24,6,0,8,0,2,0,2,1,0,0.076,3.375,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ljPYFb1B/,2011-08-20,2012,F1,france,AC Ajaccio,Evian Thonon Gaillard,2.6,3.3,3.26,1-1,1-1,d,0,4,16,19,12,1,6,3,2,0,0,0,0,0,0,2,1,0,0,0,1,2,1,2.6,3.3,3.26,20,31,5,0,7,0,0,3,0,1,3,0.798,2.857,0.556,0.444,0.0,0.444,0,0,0,2,2,1
tl4D8Ggo/,2011-08-20,2012,F1,france,Dijon FCO,Lorient,2.88,3.28,2.9,1-0,2-0,h,1,4,17,14,12,0,11,0,2,1,0,0,0,0,1,1,1,0,0,1,0,0,1,2.88,3.28,2.9,21,26,2,1,11,0,1,2,0,1,1,0.993,1.909,0.0,0.345,0.0,-0.345,1,-1,1,3,4,1
vuIoDdoU/,2011-08-20,2012,F1,france,Caen,Lille,4.3,3.36,2.1,0-1,1-2,a,-1,3,15,15,10,0,6,2,2,0,0,0,0,0,1,1,1,0,1,0,1,1,1,4.3,3.36,2.1,18,25,4,0,6,0,1,2,1,1,2,2.048,3.0,0.233,0.0,0.0,0.0,2,0,0,1,1,1
